order_id,customer,city,amount,date
159,Ana,Vancouver,961,2024-11-08
160,Sara,Belgerade,111,2024-07-13
161,Sepi,Tehran,191,2024-09-28
162,Sam,Belgerade,925,2024-11-01
163,Sara,Vancouver,719,2024-09-14
164,Sepi,Rome,954,2024-06-28
165,Sepi,Vancouver,232,2024-03-31
166,Mike,Dubai,774,2024-02-18
167,Mike,Vancouver,586,2024-07-26
168,Sam,Tehran,975,2024-11-19
169,John,Paris,964,2024-11-05
170,Sara,Tehran,172,2024-02-20
171,Sepi,Vancouver,137,2024-04-30
172,Mike,Vancouver,582,2024-02-13
173,Jill,Milan,530,2024-12-16
174,John,Milan,872,2024-01-02
175,Sam,Dubai,616,2024-12-11
176,Jill,Paris,269,2024-07-08
177,Sara,Milan,544,2024-10-23
178,John,Dubai,431,2024-07-21
179,Sepi,Dubai,116,2024-04-18
180,Ana,Belgerade,290,2024-05-27
181,Ana,Vancouver,730,2024-06-16
182,Sepi,Rome,227,2024-01-07
183,Jill,Rome,648,2024-05-20
184,Ana,Rome,705,2024-06-25
185,Jill,Vancouver,192,2024-08-24
186,John,Tehran,168,2024-05-15
187,John,Belgerade,238,2024-03-13
188,Jill,Milan,859,2024-08-07
189,Sam,Paris,294,2024-12-16
190,John,Rome,451,2024-01-19
191,Sam,Belgerade,549,2024-05-10
192,Sara,Belgerade,211,2024-06-13
193,Jill,Belgerade,255,2024-04-24
194,Mike,Dubai,388,2024-03-12
195,Sara,Dubai,317,2024-11-15
196,Ana,Vancouver,415,2024-02-08
197,John,Dubai,190,2024-03-19
198,John,Tehran,816,2024-02-19
199,Mike,Vancouver,137,2024-07-07
200,Mike,Vancouver,193,2024-02-13
201,Sepi,Tehran,796,2024-11-09
202,Jill,Belgerade,60,2024-07-08
203,Sara,Dubai,909,2024-08-08
204,Ana,Paris,908,2024-08-10
205,Mike,Vancouver,779,2024-09-10
206,Ana,Paris,922,2024-12-17
207,Sepi,Dubai,910,2024-01-09
208,Sara,Paris,646,2024-10-25
209,John,Belgerade,934,2024-04-22
210,John,Paris,471,2024-08-06
211,Sam,Milan,445,2024-04-22
212,Sam,Milan,353,2024-12-21
213,Sam,Belgerade,55,2024-12-17
214,Sepi,Tehran,996,2024-05-13
215,Sepi,Vancouver,462,2024-05-11
216,Sara,Paris,55,2024-09-13
217,John,Belgerade,799,2024-06-27
218,Ana,Milan,512,2024-05-20
219,Jill,Milan,346,2024-10-23
220,Mike,Belgerade,212,2024-01-07
221,Ana,Paris,152,2024-10-16
222,Sepi,Dubai,885,2024-01-06
223,Mike,Rome,983,2024-09-06
224,Sam,Vancouver,573,2024-01-19
225,John,Dubai,682,2024-06-29
226,Sepi,Vancouver,929,2024-10-02
227,Sara,Belgerade,929,2024-01-19
228,Sara,Vancouver,820,2024-08-04
229,Jill,Paris,554,2024-07-27
230,Sepi,Rome,696,2024-05-03
231,Jill,Rome,214,2024-08-08
232,Sara,Rome,136,2024-02-10
233,Jill,Belgerade,982,2024-02-03
234,Mike,Belgerade,862,2024-04-03
235,Jill,Vancouver,677,2024-06-23
236,Sara,Dubai,909,2024-02-09
237,John,Milan,55,2024-02-04
238,Mike,Paris,279,2024-12-11
239,Mike,Milan,510,2024-12-28
240,Sara,Dubai,781,2024-01-24
241,Sepi,Rome,986,2024-02-08
242,Sepi,Belgerade,145,2024-06-15
243,Sara,Paris,339,2024-03-26
244,Ana,Dubai,518,2024-05-07
245,Jill,Vancouver,853,2024-01-14
246,Sara,Vancouver,478,2024-07-07
247,Mike,Paris,875,2024-12-04
248,Sam,Tehran,61,2024-05-25
249,Sepi,Dubai,744,2024-11-11
250,Sara,Dubai,657,2024-06-14
251,Sepi,Belgerade,98,2024-01-11
252,Mike,Vancouver,736,2024-08-08
253,Sepi,Tehran,965,2024-06-26
254,Sara,Rome,61,2024-01-13
255,Ana,Dubai,432,2024-04-27
256,Sam,Tehran,652,2024-06-28
257,Sara,Milan,159,2024-06-20
258,Mike,Vancouver,174,2024-05-20
259,Sepi,Tehran,330,2024-10-22
260,John,Dubai,796,2024-02-23
261,Mike,Paris,611,2024-12-17
262,John,Milan,680,2024-04-22
263,John,Vancouver,419,2024-06-06
264,Jill,Dubai,106,2024-01-20
265,Mike,Rome,132,2024-06-13
266,Sepi,Vancouver,175,2024-04-05
267,Mike,Tehran,394,2024-03-29
268,Jill,Milan,487,2024-04-17
269,Sam,Tehran,694,2024-07-14
270,Jill,Tehran,921,2024-10-20
271,Mike,Tehran,627,2024-08-14
272,Sepi,Vancouver,397,2024-03-31
273,John,Paris,597,2024-09-07
274,Mike,Belgerade,645,2024-03-15
275,Ana,Belgerade,418,2024-06-22
276,Ana,Tehran,995,2024-08-24
277,Ana,Milan,726,2024-06-18
278,Ana,Rome,57,2024-06-20
279,Sam,Dubai,994,2024-10-25
280,John,Tehran,185,2024-01-14
281,Sara,Milan,463,2024-06-24
282,Sara,Tehran,55,2024-01-26
283,Mike,Milan,413,2024-11-19
284,Sara,Vancouver,386,2024-10-18
285,Sam,Tehran,830,2024-02-13
286,Ana,Milan,961,2024-02-19
287,John,Tehran,305,2024-10-15
288,Jill,Tehran,486,2024-11-12
289,Jill,Belgerade,851,2024-09-15
290,Sam,Milan,597,2024-08-07
291,Sam,Dubai,438,2024-06-08
292,Jill,Rome,218,2024-07-11
293,Sam,Milan,873,2024-01-19
294,Sepi,Milan,414,2024-01-16
295,Sara,Dubai,694,2024-06-04
296,Ana,Tehran,248,2024-04-08
297,Mike,Milan,256,2024-09-18
298,Sepi,Paris,85,2024-12-24
299,Jill,Dubai,175,2024-05-08
300,Sepi,Vancouver,261,2024-04-01
301,Jill,Belgerade,216,2024-03-12
302,Ana,Dubai,410,2024-04-03
303,Sam,Belgerade,760,2024-10-05
304,Mike,Tehran,525,2024-09-08
305,Ana,Milan,152,2024-05-08
306,Sara,Vancouver,587,2024-06-29
307,Jill,Rome,526,2024-09-22
308,John,Vancouver,662,2024-01-09
309,Ana,Tehran,290,2024-04-03
310,Jill,Dubai,136,2024-11-25
311,Sam,Milan,697,2024-01-16
312,Sara,Vancouver,722,2024-10-22
313,John,Milan,835,2024-01-16
314,Mike,Vancouver,944,2024-01-30
315,Jill,Dubai,491,2024-03-10
316,Ana,Vancouver,479,2024-02-28
317,Sam,Rome,866,2024-11-08
318,Sam,Milan,671,2024-01-11
319,Mike,Dubai,762,2024-11-06
320,Sara,Milan,596,2024-08-08
321,Ana,Milan,337,2024-07-22
322,Jill,Paris,895,2024-01-12
323,Sara,Milan,707,2024-09-06
324,Sara,Tehran,710,2024-11-19
325,Sam,Rome,452,2024-03-24
326,Mike,Belgerade,983,2024-09-19
327,Jill,Dubai,378,2024-05-24
328,Ana,Rome,643,2024-06-10
329,Ana,Dubai,243,2024-12-05
330,John,Tehran,82,2024-06-24
331,Sam,Tehran,531,2024-02-16
332,Sepi,Tehran,918,2024-12-26
333,Mike,Dubai,444,2024-08-31
334,Ana,Paris,148,2024-04-18
335,Mike,Belgerade,841,2024-07-31
336,Ana,Milan,914,2024-07-20
337,Ana,Paris,859,2024-06-28
338,Mike,Vancouver,851,2024-05-27
339,Sara,Dubai,640,2024-07-23
340,Sara,Rome,577,2024-11-09
341,John,Vancouver,451,2024-05-15
342,Sara,Milan,963,2024-05-18
343,John,Vancouver,404,2024-06-14
344,Jill,Paris,430,2024-04-02
345,Sara,Vancouver,875,2024-08-23
346,Sepi,Belgerade,476,2024-03-24
347,Sam,Rome,998,2024-01-04
348,Jill,Paris,120,2024-07-24
349,Jill,Rome,157,2024-05-21
350,Sam,Rome,918,2024-02-29
351,Mike,Milan,151,2024-11-23
352,Sepi,Tehran,339,2024-10-09
353,Sam,Belgerade,556,2024-12-16
354,Sam,Rome,852,2024-11-27
355,Mike,Paris,316,2024-09-18
356,Sam,Dubai,584,2024-03-22
357,Mike,Milan,118,2024-02-10
358,Ana,Tehran,630,2024-12-06
359,Ana,Dubai,321,2024-12-14
360,Sara,Rome,727,2024-04-28
361,John,Belgerade,955,2024-06-26
362,John,Paris,101,2024-08-13
363,Mike,Rome,238,2024-12-22
364,John,Dubai,814,2024-04-02
365,Mike,Tehran,806,2024-12-05
366,Mike,Milan,639,2024-07-30
367,Sara,Dubai,393,2024-02-08
368,Sam,Paris,93,2024-03-11
369,John,Dubai,506,2024-10-03
370,Sepi,Paris,986,2024-08-31
371,Ana,Belgerade,773,2024-12-10
372,Ana,Milan,248,2024-08-18
373,Jill,Tehran,136,2024-05-08
374,Jill,Belgerade,466,2024-04-13
375,Mike,Belgerade,54,2024-04-01
376,Sepi,Rome,286,2024-04-17
377,Ana,Vancouver,443,2024-02-03
378,John,Tehran,632,2024-03-31
379,Sara,Milan,155,2024-04-28
380,Sepi,Dubai,55,2024-01-27
381,Mike,Vancouver,84,2024-06-11
382,Ana,Rome,894,2024-05-25
383,Ana,Vancouver,511,2024-02-22
384,Jill,Belgerade,602,2024-01-18
385,Ana,Dubai,488,2024-04-07
386,John,Milan,657,2024-06-17
387,Sam,Tehran,315,2024-06-02
388,Sara,Belgerade,746,2024-03-23
389,Sara,Rome,763,2024-05-28
390,Mike,Paris,161,2024-08-01
391,Ana,Paris,844,2024-01-31
392,Sepi,Rome,797,2024-02-16
393,Ana,Tehran,630,2024-05-08
394,John,Vancouver,691,2024-07-15
395,John,Milan,843,2024-09-27
396,Sam,Dubai,216,2024-04-05
397,Sepi,Rome,630,2024-04-28
398,Mike,Dubai,56,2024-10-02
399,Sam,Dubai,432,2024-06-05
400,Sepi,Dubai,92,2024-03-23
401,Sepi,Belgerade,66,2024-10-31
402,Sepi,Vancouver,436,2024-10-03
403,Jill,Milan,474,2024-02-12
404,Sam,Milan,914,2024-05-09
405,Mike,Belgerade,345,2024-08-16
406,Jill,Dubai,902,2024-11-26
407,Ana,Dubai,490,2024-10-28
408,John,Rome,244,2024-01-22
409,Jill,Dubai,249,2024-12-07
410,Sara,Paris,628,2024-08-15
411,Ana,Vancouver,391,2024-02-16
412,Sepi,Belgerade,704,2024-08-14
413,Ana,Vancouver,205,2024-01-13
414,Mike,Vancouver,457,2024-11-12
415,Sepi,Dubai,447,2024-01-13
416,Ana,Rome,984,2024-08-12
417,Sam,Dubai,142,2024-11-21
418,Ana,Rome,734,2024-12-01
419,Ana,Paris,144,2024-12-29
420,Mike,Paris,399,2024-10-18
421,Sam,Dubai,510,2024-12-01
422,John,Milan,876,2024-07-01
423,John,Vancouver,557,2024-01-27
424,Jill,Vancouver,722,2024-01-13
425,Jill,Vancouver,581,2024-02-05
426,John,Rome,86,2024-08-04
427,John,Milan,995,2024-05-07
428,Mike,Paris,438,2024-10-30
429,Ana,Dubai,532,2024-05-14
430,John,Rome,911,2024-10-14
431,Mike,Dubai,695,2024-07-25
432,Sara,Milan,925,2024-02-21
433,John,Milan,98,2024-09-22
434,Sepi,Dubai,733,2024-12-14
435,Mike,Rome,341,2024-07-14
436,Mike,Dubai,603,2024-05-12
437,Sam,Belgerade,65,2024-10-25
438,Ana,Belgerade,349,2024-01-20
439,Mike,Vancouver,842,2024-07-28
440,Sepi,Vancouver,746,2024-08-06
441,Sepi,Belgerade,527,2024-03-05
442,Ana,Belgerade,703,2024-08-26
443,John,Vancouver,851,2024-03-15
444,Sam,Dubai,429,2024-05-03
445,Mike,Rome,561,2024-07-23
446,Ana,Milan,435,2024-06-20
447,Jill,Rome,695,2024-10-23
448,Jill,Belgerade,582,2024-02-21
449,John,Dubai,978,2024-04-23
450,Jill,Paris,351,2024-11-12
451,Ana,Tehran,761,2024-08-07
452,John,Belgerade,899,2024-04-02
453,Sepi,Milan,724,2024-08-01
454,Sepi,Rome,983,2024-09-18
455,Sam,Belgerade,68,2024-01-08
456,Sara,Rome,798,2024-10-15
457,John,Rome,761,2024-03-31
458,John,Vancouver,367,2024-04-10
459,Mike,Belgerade,279,2024-08-23
460,Sam,Dubai,447,2024-12-20
461,John,Belgerade,719,2024-04-30
462,Sara,Vancouver,666,2024-02-17
463,Sam,Rome,235,2024-11-10
464,Sara,Tehran,347,2024-01-31
465,Sam,Paris,719,2024-04-25
466,John,Tehran,359,2024-09-12
467,Jill,Vancouver,421,2024-08-27
468,Sepi,Belgerade,228,2024-03-31
469,Sam,Dubai,594,2024-06-09
470,Sam,Dubai,764,2024-10-11
471,Sepi,Milan,68,2024-07-06
472,Sam,Tehran,400,2024-12-03
473,John,Rome,899,2024-06-02
474,Sam,Paris,857,2024-04-18
475,Mike,Rome,562,2024-08-12
476,Sara,Tehran,65,2024-05-18
477,Jill,Milan,197,2024-05-23
478,Sam,Dubai,469,2024-02-23
479,Sam,Rome,896,2024-08-13
480,Jill,Paris,725,2024-02-04
481,Sam,Paris,620,2024-10-12
482,Ana,Vancouver,404,2024-07-24
483,Jill,Dubai,346,2024-10-08
484,Mike,Milan,573,2024-02-29
485,Mike,Milan,91,2024-09-04
486,Sepi,Tehran,876,2024-06-10
487,Jill,Tehran,376,2024-04-20
488,Jill,Belgerade,173,2024-01-23
489,Sepi,Milan,387,2024-03-22
490,Sara,Rome,899,2024-11-08
491,Sara,Milan,256,2024-07-04
492,Ana,Vancouver,265,2024-05-05
493,Mike,Rome,923,2024-05-28
494,Sam,Paris,123,2024-08-05
495,Ana,Tehran,140,2024-09-10
496,Sara,Milan,967,2024-08-15
497,Ana,Belgerade,551,2024-04-21
498,Sepi,Dubai,83,2024-11-07
499,Jill,Paris,536,2024-08-16
500,Sepi,Paris,441,2024-11-25
